nodes,ranks,seed,iterations,subiterations,graph_size,graph_file,communication_delay
1,1,1,256,1,16384,graphs/power14.0.16384.txt,16
1,2,1,128,1,16384,graphs/power14.0.16384.txt,8
1,4,1,64,1,16384,graphs/power14.0.16384.txt,4
2,8,1,32,1,16384,graphs/power14.0.16384.txt,2
4,16,1,16,1,16384,graphs/power14.0.16384.txt,1
