nodes,ranks,seed,iterations,subiterations,graph_size,graph_file,communication_delay,checked,per_iter,per_sync,time_result,cut_result
1,1,1,32,32,256,graphs/power8.0.256.txt,4,1073741824,33554432,134217728,26.809543,8392
1,2,1,32,16,362,graphs/power8.5.362.txt,4,1073741824,33554432,134217728,20.748405,16770
1,4,1,32,8,512,graphs/power9.0.512.txt,4,1073741824,33554432,134217728,14.769034,33255
1,1,1,32,32,1024,graphs/power10.0.1024.txt,4,1073741824,33554432,134217728,111.413817,131879
1,2,1,32,16,1024,graphs/power10.0.1024.txt,4,1073741824,33554432,134217728,57.006033,131938
1,4,1,32,8,1024,graphs/power10.0.1024.txt,4,1073741824,33554432,134217728,30.087076,131830
