nodes,ranks,seed,iterations,subiterations,graph_size,graph_file,communication_delay,checked,per_iter,per_sync,time_result,cut_result
2,8,1,32,4,724,graphs/power9.5.724.txt,4,1073741824,33554432,134217728,11.672184,66223
2,8,1,32,4,1024,graphs/power10.0.1024.txt,4,1073741824,33554432,134217728,16.432215,132009
