nodes,ranks,seed,iterations,subiterations,graph_size,graph_file,communication_delay,checked,per_iter,per_sync,time_result,cut_result
1,1,1,128,16,256,graphs/power8.0.256.txt,4,2147483648,16777216,67108864,49.270269,8867
1,2,1,128,8,362,graphs/power8.5.362.txt,4,2147483648,16777216,67108864,38.055762,17617
1,4,1,128,4,512,graphs/power9.0.512.txt,4,2147483648,16777216,67108864,26.673591,34760
1,1,1,128,16,1024,graphs/power10.0.1024.txt,4,2147483648,16777216,67108864,209.049121,136094
1,2,1,128,8,1024,graphs/power10.0.1024.txt,4,2147483648,16777216,67108864,108.061478,135922
1,4,1,128,4,1024,graphs/power10.0.1024.txt,4,2147483648,16777216,67108864,57.178853,135875
