nodes,ranks,seed,iterations,subiterations,graph_size,graph_file,communication_delay,checked,per_iter,per_sync,time_result,cut_result
1,1,1,32,1,256,graphs/power8.0.256.txt,32,33554432,1048576,33554432,2.269654,8381
1,2,1,32,1,362,graphs/power8.5.362.txt,16,67108864,2097152,33554432,5.688133,16744
1,4,1,32,1,512,graphs/power9.0.512.txt,8,134217728,4194304,33554432,13.209542,33272
1,1,1,32,1,1024,graphs/power10.0.1024.txt,32,33554432,1048576,33554432,5.859201,131720
1,2,1,16,1,1024,graphs/power10.0.1024.txt,16,33554432,2097152,33554432,7.718793,131627
1,4,1,8,1,1024,graphs/power10.0.1024.txt,8,33554432,4194304,33554432,10.649657,131627
